,precision,recall,f1-score,support
anger,0.9299363057324841,0.34192037470725994,0.5,427.0
fear,0.9280575539568345,0.3161764705882353,0.47166361974405846,408.0
joy,0.6279956427015251,0.9771186440677966,0.7645888594164457,1180.0
love,1.0,0.05054151624548736,0.09621993127147765,277.0
sadness,0.7231139646869984,0.9128672745694022,0.8069861173309449,987.0
surprise,1.0,0.008771929824561403,0.017391304347826087,114.0
accuracy,0.690834070144415,0.690834070144415,0.690834070144415,0.690834070144415
macro avg,0.8681839111796403,0.43456603500045704,0.44280830535179216,3393.0
weighted avg,0.7726138007945849,0.690834070144415,0.6287310458091588,3393.0
