,precision,recall,f1-score,support
anger,0.8894736842105263,0.7915690866510539,0.8376703841387857,427.0
fear,0.8935574229691877,0.7818627450980392,0.8339869281045752,408.0
joy,0.8068669527896996,0.9559322033898305,0.8750969743987588,1180.0
love,0.8876404494382022,0.5703971119133574,0.6945054945054946,277.0
sadness,0.8927875243664717,0.92806484295846,0.9100844510680577,987.0
surprise,0.9444444444444444,0.4473684210526316,0.6071428571428572,114.0
accuracy,0.8576480990274093,0.8576480990274093,0.8576480990274093,3393.0
macro avg,0.8857950797030886,0.7458657351772288,0.793081181559755,3393.0
weighted avg,0.8638974517335469,0.8576480990274093,0.8518750401947963,3393.0
